question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
How many students got an A in Applied Deep Learning?,cs_semester,11,SELECT COUNT(T2.student_id) FROM course AS T1 INNER JOIN registration AS T2 ON T1.course_id = T2.course_id WHERE T2.grade = 'A' AND T1.name = 'Applied Deep Learning ',,2,5.0,cs_semester#sep#course [TAB] cs_semester#sep#registration#sep#registration2 [TAB] cs_semester#sep#registration#sep#registration3 [TAB] cs_semester#sep#registration#sep#registration1 [TAB] cs_semester#sep#registration#sep#registration0
How many students does Ogdon Zywicki advise?,cs_semester,1,SELECT COUNT(T1.student_id) FROM RA AS T1 INNER JOIN prof AS T2 ON T1.prof_id = T2.prof_id WHERE T2.first_name = 'Ogdon' AND T2.last_name = 'Zywicki',,2,4.0,cs_semester#sep#RA#sep#RA [TAB] cs_semester#sep#prof#sep#prof
"Among the students with high salary, what is total number of students with a GPA higher than 3?",cs_semester,11,SELECT COUNT(T1.student_id) FROM RA AS T1 INNER JOIN student AS T2 ON T1.student_id = T2.student_id WHERE T1.salary = 'high' AND T2.gpa > 3,,2,4.0,cs_semester#sep#student [TAB] cs_semester#sep#RA#sep#RA
"In students with a grade of B, how many of them have an intellegence level of 3?",cs_semester,11,SELECT COUNT(T1.student_id) FROM registration AS T1 INNER JOIN student AS T2 ON T1.student_id = T2.student_id WHERE T1.grade = 'B' AND T2.intelligence = 3,,2,6.0,cs_semester#sep#student [TAB] cs_semester#sep#registration#sep#registration2 [TAB] cs_semester#sep#registration#sep#registration3 [TAB] cs_semester#sep#registration#sep#registration1 [TAB] cs_semester#sep#registration#sep#registration0
"Among students with low salary, how many of them have a gpa of 3.5?",cs_semester,11,SELECT COUNT(T1.student_id) FROM RA AS T1 INNER JOIN student AS T2 ON T1.student_id = T2.student_id WHERE T2.gpa = 3.5 AND T1.salary = 'low',,2,1.0,cs_semester#sep#student [TAB] cs_semester#sep#RA#sep#RA
"Among the professors with a teachability of 3 and below, what is the percentage of their student advisees with a low salary?",cs_semester,1,SELECT CAST(SUM(CASE WHEN T1.salary = 'low' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.salary) FROM RA AS T1 INNER JOIN prof AS T2 ON T1.prof_id = T2.prof_id WHERE T2.teachingability < 3,,2,7.6923076923076925,cs_semester#sep#RA#sep#RA [TAB] cs_semester#sep#prof#sep#prof
"Among students that gave satisfaction of value 4 for the course named ""Statistical Learning"", how many of them have a gpa of 3.8?",cs_semester,111,SELECT COUNT(T1.student_id) FROM student AS T1 INNER JOIN registration AS T2 ON T1.student_id = T2.student_id INNER JOIN course AS T3 ON T2.course_id = T3.course_id WHERE T3.name = 'Statistical learning' AND T2.sat = 4 AND T1.gpa = 3.8,,3,1.0,cs_semester#sep#student [TAB] cs_semester#sep#course [TAB] cs_semester#sep#registration#sep#registration2 [TAB] cs_semester#sep#registration#sep#registration3 [TAB] cs_semester#sep#registration#sep#registration1 [TAB] cs_semester#sep#registration#sep#registration0
"Among the students with a capability below 3, what is the difference of undergraduate students from research postgraduate students?",cs_semester,1,SELECT SUM(CASE WHEN T2.type = 'UG' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.type = 'RPG' THEN 1 ELSE 0 END) FROM RA AS T1 INNER JOIN student AS T2 ON T1.student_id = T2.student_id WHERE T1.capability < 3,,2,0.0,cs_semester#sep#student [TAB] cs_semester#sep#RA#sep#RA
How many users are there in the Home Decoration category?,talkingdata,1,SELECT COUNT(T1.app_id) FROM app_labels AS T1 INNER JOIN label_categories AS T2 ON T2.label_id = T1.label_id WHERE T2.category = 'Home Decoration',,2,0.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
How many female users use ZenFone 5 devices?,talkingdata,11,SELECT COUNT(T1.gender) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T2.device_id = T1.device_id WHERE T1.gender = 'F' AND T2.device_model = 'ZenFone 5',,2,2.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many users belong to the MOBA category?,talkingdata,1,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T2.label_id = T1.label_id WHERE T1.category = 'MOBA',,2,324.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
"How many events did the 88-years-old male users participate on 4th May,2016?",talkingdata,1,"SELECT COUNT(T2.event_id) FROM gender_age AS T1 INNER JOIN events AS T2 ON T2.device_id = T1.device_id WHERE T1.gender = 'M' AND SUBSTR(`timestamp`, 1, 10) = '2016-05-04' AND T1.age = 88",,2,52.0,talkingdata#sep#events_relevant#sep#events_relevant10 [TAB] talkingdata#sep#events_relevant#sep#events_relevant12 [TAB] talkingdata#sep#events#sep#events0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant13 [TAB] talkingdata#sep#events#sep#events6 [TAB] talkingdata#sep#events_relevant#sep#events_relevant14 [TAB] talkingdata#sep#events_relevant#sep#events_relevant11 [TAB] talkingdata#sep#events_relevant#sep#events_relevant4 [TAB] talkingdata#sep#events#sep#events2 [TAB] talkingdata#sep#events#sep#events7 [TAB] talkingdata#sep#events#sep#events5 [TAB] talkingdata#sep#events#sep#events4 [TAB] talkingdata#sep#events_relevant#sep#events_relevant8 [TAB] talkingdata#sep#events_relevant#sep#events_relevant7 [TAB] talkingdata#sep#events_relevant#sep#events_relevant1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant2 [TAB] talkingdata#sep#events#sep#events3 [TAB] talkingdata#sep#events#sep#events8 [TAB] talkingdata#sep#events#sep#events1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant3 [TAB] talkingdata#sep#events#sep#events9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant5 [TAB] talkingdata#sep#events_relevant#sep#events_relevant6 [TAB] talkingdata#sep#gender_age
How many app IDs were included under science fiction category?,talkingdata,1,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T2.label_id = T1.label_id WHERE T1.category = 'science fiction',,2,83.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
"Among the users who use a Galaxy Note 2, how many of them are female?",talkingdata,11,SELECT COUNT(T1.device_id) FROM phone_brand_device_model2 AS T1 INNER JOIN gender_age AS T2 ON T2.device_id = T1.device_id WHERE T2.gender = 'F' AND T1.device_model = 'Galaxy Note 2',,2,370.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many app users belong to the category of Securities?,talkingdata,1,SELECT COUNT(T1.app_id) FROM app_labels AS T1 INNER JOIN label_categories AS T2 ON T2.label_id = T1.label_id WHERE T2.category = 'Securities',,2,109.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
"Among the users who uses a vivo device, how many of them are female and under 30?",talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.gender = 'F' AND T2.phone_brand = 'vivo' AND T1.age < 30,,2,838.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many users in user group M23-26 use a vivo device?,talkingdata,11,SELECT COUNT(T2.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.`group` = 'M23-26' AND T2.phone_brand = 'vivo',,2,329.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
What is the average age of all the vivo device users?,talkingdata,10,SELECT AVG(age) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.phone_brand = 'vivo',,2,28.769259676813228,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"How many users belong to ""Financial Information"" category?",talkingdata,1,SELECT COUNT(T1.app_id) FROM app_labels AS T1 INNER JOIN label_categories AS T2 ON T1.label_id = T2.label_id WHERE T2.category = 'Financial Information',,2,496.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
"How many users belong to ""game-Art Style"" category?",talkingdata,1,SELECT COUNT(T1.app_id) FROM app_labels AS T1 INNER JOIN label_categories AS T2 ON T1.label_id = T2.label_id WHERE T2.category = 'game-Art Style',,2,1.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
Provide the total number of the male users that use OPPO as their phone brand.,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.phone_brand = 'OPPO' AND T1.gender = 'M',,2,1541.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many male users use the Galaxy Ace Plus model?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.device_model = 'Galaxy Ace Plus' AND T1.gender = 'M',,2,1.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"Give the number of ""game-Fishing"" apps.",talkingdata,1,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE T1.category = 'game-Fishing',,2,225.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
"State the number of the ""魅蓝Note 2"" users who are in the ""F29-32"" group.",talkingdata,11,SELECT COUNT(T2.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.`group` = 'F29-32' AND T2.device_model = '魅蓝Note 2',,2,16.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"Give the number of female users of ""E派"" brand devices.",talkingdata,11,SELECT COUNT(T2.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.gender = 'F' AND T2.phone_brand = 'E派',,2,2.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"How many male users of the ""Galaxy S5"" device model?",talkingdata,11,SELECT COUNT(T1.device_id) FROM phone_brand_device_model2 AS T1 INNER JOIN gender_age AS T2 ON T1.device_id = T2.device_id WHERE T1.device_model = 'Galaxy S5' AND T2.gender = 'M',,2,226.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many categories in total do the app users who were not active when event no.2 happened belong to?,talkingdata,110,SELECT COUNT(*) FROM ( SELECT COUNT(DISTINCT T1.category) AS result FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id INNER JOIN app_events AS T3 ON T2.app_id = T3.app_id WHERE T3.event_id = 2 AND T3.is_active = 0 GROUP BY T1.category ) T,,3,42.0,talkingdata#sep#app_events#sep#app_events0 [TAB] talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
How many events have happened on the device of the youngest female user?,talkingdata,11,"SELECT COUNT(T1.event_id) FROM events AS T1 INNER JOIN gender_age AS T2 ON T1.device_id = T2.device_id WHERE T2.gender = 'F' GROUP BY T1.event_id, T2.age ORDER BY T2.age LIMIT 1",,2,1.0,talkingdata#sep#events_relevant#sep#events_relevant10 [TAB] talkingdata#sep#events_relevant#sep#events_relevant12 [TAB] talkingdata#sep#events#sep#events0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant13 [TAB] talkingdata#sep#events#sep#events6 [TAB] talkingdata#sep#events_relevant#sep#events_relevant14 [TAB] talkingdata#sep#events_relevant#sep#events_relevant11 [TAB] talkingdata#sep#events_relevant#sep#events_relevant4 [TAB] talkingdata#sep#events#sep#events2 [TAB] talkingdata#sep#events#sep#events7 [TAB] talkingdata#sep#events#sep#events5 [TAB] talkingdata#sep#events#sep#events4 [TAB] talkingdata#sep#events_relevant#sep#events_relevant8 [TAB] talkingdata#sep#events_relevant#sep#events_relevant7 [TAB] talkingdata#sep#events_relevant#sep#events_relevant1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant2 [TAB] talkingdata#sep#events#sep#events3 [TAB] talkingdata#sep#events#sep#events8 [TAB] talkingdata#sep#events#sep#events1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant3 [TAB] talkingdata#sep#events#sep#events9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant5 [TAB] talkingdata#sep#events_relevant#sep#events_relevant6 [TAB] talkingdata#sep#gender_age
"Among the devices on which an event happened on 2016/5/1, how many of them are used by a male user?",talkingdata,11,SELECT COUNT(T1.device_id) FROM events AS T1 INNER JOIN gender_age AS T2 ON T1.device_id = T2.device_id WHERE T1.timestamp = '2016-05-01' AND T2.gender = 'M',,2,0.0,talkingdata#sep#events_relevant#sep#events_relevant10 [TAB] talkingdata#sep#events_relevant#sep#events_relevant12 [TAB] talkingdata#sep#events#sep#events0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant13 [TAB] talkingdata#sep#events#sep#events6 [TAB] talkingdata#sep#events_relevant#sep#events_relevant14 [TAB] talkingdata#sep#events_relevant#sep#events_relevant11 [TAB] talkingdata#sep#events_relevant#sep#events_relevant4 [TAB] talkingdata#sep#events#sep#events2 [TAB] talkingdata#sep#events#sep#events7 [TAB] talkingdata#sep#events#sep#events5 [TAB] talkingdata#sep#events#sep#events4 [TAB] talkingdata#sep#events_relevant#sep#events_relevant8 [TAB] talkingdata#sep#events_relevant#sep#events_relevant7 [TAB] talkingdata#sep#events_relevant#sep#events_relevant1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant2 [TAB] talkingdata#sep#events#sep#events3 [TAB] talkingdata#sep#events#sep#events8 [TAB] talkingdata#sep#events#sep#events1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant3 [TAB] talkingdata#sep#events#sep#events9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant5 [TAB] talkingdata#sep#events_relevant#sep#events_relevant6 [TAB] talkingdata#sep#gender_age
What is the average age of the female users who uses a vivo device?,talkingdata,11,SELECT AVG(T1.age) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.phone_brand = 'vivo' AND T1.gender = 'F',,2,28.672920065252853,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many females use ZUK Z1 phones in the age group under 23?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.gender = 'F' AND T2.device_model = 'Z1' AND T1.`group` = 'F23-' AND T2.phone_brand = 'ZUK',,2,0.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many users who are under 30 years old use device model of Galaxy Note 2?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.device_model = 'Galaxy Note 2' AND T1.age < 30,,2,294.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many female users use device model of MI 3?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.gender = 'F' AND T2.device_model = 'MI 3',,2,422.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"Among the male users, how many users use device model of Desire 820?",talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.device_model = 'Desire 820' AND T1.gender = 'M',,2,19.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"Among the users who are above 20, how many users use device model of ELIFE E7 Mini?",talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.device_model = 'ELIFE E7 Mini' AND T1.age > 20,,2,5.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
State the number of users who are under 50 and above 20 use device model of Galaxy Premier.,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.age BETWEEN 20 AND 50 AND T2.device_model = 'Galaxy Premier',,2,33.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
Give the number of male users who use phone branded HTC.,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.gender = 'M' AND T2.phone_brand = 'HTC',,2,315.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many users who are between 20 and 60 use phone brand of TCL?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.age BETWEEN 20 AND 60 AND T2.phone_brand = 'TCL',,2,104.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many people over the age of 50 do not have HTC One M8 Eye phones?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T1.age > 50 AND T2.device_model != 'One M8 Eye' AND T2.phone_brand != 'HTC',,2,1848.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
How many users belong to the same behavior category as comics?,talkingdata,1,SELECT COUNT(T2.app_id) FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE T1.category = 'comics',,2,72.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
How many male users have the log of events at the same longitude of 114?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN events_relevant AS T2 ON T1.device_id = T2.device_id WHERE T2.longitude = 114 AND T1.gender = 'M',,2,0.0,talkingdata#sep#gender_age [TAB] talkingdata#sep#events_relevant#sep#events_relevant10 [TAB] talkingdata#sep#events_relevant#sep#events_relevant12 [TAB] talkingdata#sep#events_relevant#sep#events_relevant13 [TAB] talkingdata#sep#events_relevant#sep#events_relevant14 [TAB] talkingdata#sep#events_relevant#sep#events_relevant11 [TAB] talkingdata#sep#events_relevant#sep#events_relevant4 [TAB] talkingdata#sep#events_relevant#sep#events_relevant8 [TAB] talkingdata#sep#events_relevant#sep#events_relevant7 [TAB] talkingdata#sep#events_relevant#sep#events_relevant1 [TAB] talkingdata#sep#events_relevant#sep#events_relevant2 [TAB] talkingdata#sep#events_relevant#sep#events_relevant0 [TAB] talkingdata#sep#events_relevant#sep#events_relevant3 [TAB] talkingdata#sep#events_relevant#sep#events_relevant9 [TAB] talkingdata#sep#events_relevant#sep#events_relevant5 [TAB] talkingdata#sep#events_relevant#sep#events_relevant6
"How many of the apps belong in the ""Equity Fund"" category?",talkingdata,1,SELECT COUNT(T1.app_id) FROM app_labels AS T1 INNER JOIN label_categories AS T2 ON T1.label_id = T2.label_id WHERE T2.category = 'Equity Fund',,2,4.0,talkingdata#sep#label_categories#sep#label_categories [TAB] talkingdata#sep#app_labels
How many male users have a Galaxy Note 3?,talkingdata,11,SELECT COUNT(T1.device_id) FROM gender_age AS T1 INNER JOIN phone_brand_device_model2 AS T2 ON T1.device_id = T2.device_id WHERE T2.device_model = 'Galaxy Note 3' AND T1.gender = 'M',,2,577.0,talkingdata#sep#phone_brand_device_model2#sep#phone_brand_device_model2 [TAB] talkingdata#sep#gender_age
"How many keywords are there for season 9, episode 23 of law_and_order?",law_episode,1,SELECT COUNT(T2.keyword) FROM Episode AS T1 INNER JOIN Keyword AS T2 ON T1.episode_id = T2.episode_id WHERE T1.season = 9 AND T1.episode = 23,,2,28.0,law_episode#sep#Keyword#sep#Keyword [TAB] law_episode#sep#Episode#sep#Episode
How many keywords are there in the episode Disciple?,law_episode,1,SELECT COUNT(T2.keyword) FROM Episode AS T1 INNER JOIN Keyword AS T2 ON T1.episode_id = T2.episode_id WHERE T1.title = 'Disciple',,2,2.0,law_episode#sep#Keyword#sep#Keyword [TAB] law_episode#sep#Episode#sep#Episode
"How many nominations did Law and Order season 9, episode 20 get?",law_episode,11,SELECT COUNT(T2.award_id) FROM Episode AS T1 INNER JOIN Award AS T2 ON T1.episode_id = T2.episode_id WHERE T2.series = 'Law and Order' AND T1.season = 9 AND T1.episode = 20,,2,7.0,law_episode#sep#Award [TAB] law_episode#sep#Episode#sep#Episode
How many awards has Rene Balcer been nominated for?,law_episode,1,SELECT COUNT(T2.award_id) FROM Person AS T1 INNER JOIN Award AS T2 ON T1.person_id = T2.person_id WHERE T1.name = 'Rene Balcer',,2,6.0,law_episode#sep#Person#sep#Person [TAB] law_episode#sep#Award#sep#Award
"How many times is the number of keywords in ""Refuge: Part 1"" episode than ""Shield"" episode?",law_episode,0,SELECT CAST(SUM(CASE WHEN T1.title = 'Refuge: Part 1' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN T1.title = 'Shield' THEN 1 ELSE 0 END) FROM Episode AS T1 INNER JOIN Keyword AS T2 ON T1.episode_id = T2.episode_id,,2,9.333333333333334,law_episode#sep#Keyword#sep#Keyword [TAB] law_episode#sep#Episode#sep#Episode
How many awards has Julia Roberts been nominated for?,law_episode,11,SELECT COUNT(T2.award_id) FROM Person AS T1 INNER JOIN Award AS T2 ON T1.person_id = T2.person_id WHERE T1.name = 'Julia Roberts' AND T2.result = 'Nominee',,2,1.0,law_episode#sep#Person#sep#Person [TAB] law_episode#sep#Award
"How many people, who were born in Canada, won an award in 1999?",law_episode,11,SELECT COUNT(T1.person_id) FROM Person AS T1 INNER JOIN Award AS T2 ON T1.person_id = T2.person_id WHERE T2.year = 1999 AND T1.birth_country = 'Canada',,2,2.0,law_episode#sep#Person#sep#Person [TAB] law_episode#sep#Award
"How many times did the episode titled ""Agony"" win an award?",law_episode,11,SELECT COUNT(T2.award_id) FROM Episode AS T1 INNER JOIN Award AS T2 ON T1.episode_id = T2.episode_id WHERE T1.title = 'Agony' AND T2.result = 'Winner',,2,5.0,law_episode#sep#Award [TAB] law_episode#sep#Episode#sep#Episode
"How many awards did the ""Agony"" win?",law_episode,11,SELECT COUNT(T2.award) FROM Episode AS T1 INNER JOIN Award AS T2 ON T1.episode_id = T2.episode_id WHERE T1.title = 'Agony' AND T2.result = 'Winner',,2,5.0,law_episode#sep#Award [TAB] law_episode#sep#Episode#sep#Episode
How many times was episode 20 of the Law and Order series nominated for the Primetime Emmy Awards in 1999?,law_episode,11,SELECT COUNT(T2.award_id) FROM Episode AS T1 INNER JOIN Award AS T2 ON T1.episode_id = T2.episode_id WHERE T2.year = 1999 AND T2.result = 'Nominee' AND T1.episode = 20 AND T2.organization = 'Primetime Emmy Awards' AND T1.series = 'Law and Order',,2,5.0,law_episode#sep#Award [TAB] law_episode#sep#Episode#sep#Episode
How many people from Canada are nominated for an award?,law_episode,10,SELECT COUNT(T1.person_id) FROM Person AS T1 INNER JOIN Award AS T2 ON T1.person_id = T2.person_id WHERE T1.birth_country = 'Canada',,2,6.0,law_episode#sep#Person#sep#Person [TAB] law_episode#sep#Award#sep#Award
How many allergies does Mrs. Saundra Monahan have?,synthea,1,SELECT COUNT(DISTINCT T2.code) FROM patients AS T1 INNER JOIN allergies AS T2 ON T1.patient = T2.PATIENT WHERE T1.prefix = 'Mrs.' AND T1.first = 'Saundra' AND T1.last = 'Monahan',,2,5.0,synthea#sep#allergies#sep#allergies_details6 [TAB] synthea#sep#allergies#sep#allergies_details3 [TAB] synthea#sep#allergies#sep#allergies_details14 [TAB] synthea#sep#allergies#sep#allergies_details2 [TAB] synthea#sep#allergies#sep#allergies_details10 [TAB] synthea#sep#allergies#sep#allergies_details8 [TAB] synthea#sep#allergies#sep#allergies_details13 [TAB] synthea#sep#allergies#sep#allergies_details0 [TAB] synthea#sep#allergies#sep#allergies_details11 [TAB] synthea#sep#allergies#sep#allergies_details12 [TAB] synthea#sep#allergies#sep#allergies_details9 [TAB] synthea#sep#allergies#sep#allergies_details5 [TAB] synthea#sep#allergies#sep#allergies_details1 [TAB] synthea#sep#allergies#sep#allergies_details4 [TAB] synthea#sep#allergies#sep#allergies_details7 [TAB] synthea#sep#patients
What is the total number of Asian patients who are allergic to peanuts?,synthea,11,SELECT COUNT(T2.patient) FROM allergies AS T1 INNER JOIN patients AS T2 ON T1.PATIENT = T2.patient WHERE T1.DESCRIPTION = 'Allergy to peanuts' AND T2.race = 'asian',,2,1.0,synthea#sep#allergies#sep#allergies_details6 [TAB] synthea#sep#allergies#sep#allergies_details3 [TAB] synthea#sep#allergies#sep#allergies_details14 [TAB] synthea#sep#allergies#sep#allergies_details2 [TAB] synthea#sep#allergies#sep#allergies_details10 [TAB] synthea#sep#allergies#sep#allergies_details8 [TAB] synthea#sep#allergies#sep#allergies_details13 [TAB] synthea#sep#allergies#sep#allergies_details0 [TAB] synthea#sep#allergies#sep#allergies_details11 [TAB] synthea#sep#allergies#sep#allergies_details12 [TAB] synthea#sep#allergies#sep#allergies_details9 [TAB] synthea#sep#allergies#sep#allergies_details5 [TAB] synthea#sep#allergies#sep#allergies_details1 [TAB] synthea#sep#allergies#sep#allergies_details4 [TAB] synthea#sep#allergies#sep#allergies_details7 [TAB] synthea#sep#patients#sep#patients_demographics0 [TAB] synthea#sep#patients#sep#patients_demographics1
How many times did Keven Kuhn receive DTaP immunization?,synthea,11,SELECT COUNT(T2.CODE) FROM patients AS T1 INNER JOIN immunizations AS T2 ON T1.patient = T2.PATIENT WHERE T1.first = 'Keven' AND T1.last = 'Kuhn' AND T2.DESCRIPTION = 'DTaP',,2,4.0,synthea#sep#immunizations#sep#immunizations0 [TAB] synthea#sep#immunizations#sep#immunizations14 [TAB] synthea#sep#immunizations#sep#immunizations1 [TAB] synthea#sep#immunizations#sep#immunizations11 [TAB] synthea#sep#immunizations#sep#immunizations5 [TAB] synthea#sep#immunizations#sep#immunizations6 [TAB] synthea#sep#immunizations#sep#immunizations4 [TAB] synthea#sep#immunizations#sep#immunizations13 [TAB] synthea#sep#immunizations#sep#immunizations3 [TAB] synthea#sep#immunizations#sep#immunizations7 [TAB] synthea#sep#immunizations#sep#immunizations12 [TAB] synthea#sep#immunizations#sep#immunizations8 [TAB] synthea#sep#immunizations#sep#immunizations15 [TAB] synthea#sep#immunizations#sep#immunizations10 [TAB] synthea#sep#immunizations#sep#immunizations2 [TAB] synthea#sep#immunizations#sep#immunizations9 [TAB] synthea#sep#patients#sep#patients_demographics0 [TAB] synthea#sep#patients#sep#patients_demographics1
