question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
Count the number of credit cards that the customer with first name Blanche and last name Huels has.,customers_card_transactions,11,"SELECT count(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Blanche"" AND T2.customer_last_name  =  ""Huels"" AND T1.card_type_code  =  ""Credit""",,2,1.0,customers_card_transactions#sep#Customers_Cards [TAB] customers_card_transactions#sep#Customers#sep#Customers
"How many policies are listed for the customer named ""Dayana Robel""?",insurance_fnol,1,"SELECT count(*) FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.customer_name  =  ""Dayana Robel""",,2,2.0,insurance_fnol#sep#Customers_Policies#sep#Customers_Policies [TAB] insurance_fnol#sep#Customers#sep#Customers
"Count the total number of policies used by the customer named ""Dayana Robel"".",insurance_fnol,1,"SELECT count(*) FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.customer_name  =  ""Dayana Robel""",,2,2.0,insurance_fnol#sep#Customers_Policies#sep#Customers_Policies [TAB] insurance_fnol#sep#Customers#sep#Customers
How many schools do not participate in the basketball match?,university_basketball,100,SELECT count(*) FROM university WHERE school_id NOT IN (SELECT school_id FROM basketball_match),,2,1.0,university_basketball#sep#basketball_match#sep#basketball_match [TAB] university_basketball#sep#university#sep#university
Count the number of universities that do not participate in the baketball match.,university_basketball,100,SELECT count(*) FROM university WHERE school_id NOT IN (SELECT school_id FROM basketball_match),,2,1.0,university_basketball#sep#basketball_match#sep#basketball_match [TAB] university_basketball#sep#university#sep#university
"How many distinct colleges are associated with players from the team with name ""Columbus Crew"".",match_season,1,"SELECT count(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""",,2,1.0,match_season#sep#match_season#sep#match_season [TAB] match_season#sep#team#sep#team
Count the number of different colleges that players who play for Columbus Crew are from.,match_season,1,"SELECT count(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""",,2,1.0,match_season#sep#match_season#sep#match_season [TAB] match_season#sep#team#sep#team
What is the average total score of body builders with height bigger than 200?,body_builder,1,SELECT avg(T1.Total) FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Height  >  200,,2,292.5,body_builder#sep#people [TAB] body_builder#sep#body_builder#sep#body_builder
"What is the average number of votes of representatives from party ""Republican""?",election_representative,1,"SELECT avg(T1.Votes) FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID WHERE T2.Party  =  ""Republican""",,2,11750.0,election_representative#sep#representative#sep#representative [TAB] election_representative#sep#election#sep#election
"Show the average room count of the apartments that have booking status code ""Provisional"".",apartment_rentals,1,"SELECT avg(room_count) FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""",,2,6.5,apartment_rentals#sep#Apartments#sep#Apartments
"What is the average room count of the apartments whose booking status code is ""Provisional""?",apartment_rentals,1,"SELECT avg(room_count) FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""",,2,6.5,apartment_rentals#sep#Apartments#sep#Apartments [TAB] apartment_rentals#sep#Apartment_Bookings#sep#Apartment_Bookings
"Show the total number of rooms of all apartments with facility code ""Gym"".",apartment_rentals,1,"SELECT sum(T2.room_count) FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.facility_code  =  ""Gym""",,2,15.0,apartment_rentals#sep#Apartment_Facilities#sep#Apartment_Facilities [TAB] apartment_rentals#sep#Apartments#sep#Apartments
"Find the total number of rooms in the apartments that have facility code ""Gym"".",apartment_rentals,1,"SELECT sum(T2.room_count) FROM Apartment_Facilities AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.facility_code  =  ""Gym""",,2,15.0,apartment_rentals#sep#Apartment_Facilities#sep#Apartment_Facilities [TAB] apartment_rentals#sep#Apartments#sep#Apartments
"Show the total number of rooms of the apartments in the building with short name ""Columbus Square"".",apartment_rentals,1,"SELECT sum(T2.room_count) FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_short_name  =  ""Columbus Square""",,2,29.0,apartment_rentals#sep#Apartments#sep#Apartments [TAB] apartment_rentals#sep#Apartment_Buildings#sep#Apartment_Buildings
"How many rooms in total are there in the apartments in the building with short name ""Columbus Square""?",apartment_rentals,1,"SELECT sum(T2.room_count) FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_short_name  =  ""Columbus Square""",,2,29.0,apartment_rentals#sep#Apartments#sep#Apartments [TAB] apartment_rentals#sep#Apartment_Buildings#sep#Apartment_Buildings
How many apartments do not have any facility?,apartment_rentals,100,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),,2,8.0,apartment_rentals#sep#Apartment_Facilities#sep#Apartment_Facilities [TAB] apartment_rentals#sep#Apartments#sep#Apartments
Find the number of apartments that have no facility.,apartment_rentals,100,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),,2,8.0,apartment_rentals#sep#Apartment_Facilities#sep#Apartment_Facilities [TAB] apartment_rentals#sep#Apartments#sep#Apartments
How many games are free of injury accidents?,game_injury,0,SELECT count(*) FROM game WHERE id NOT IN ( SELECT game_id FROM injury_accident ),,2,9.0,game_injury#sep#game#sep#game [TAB] game_injury#sep#injury_accident#sep#injury_accident
How many distinct kinds of injuries happened after season 2010?,game_injury,1,SELECT count(DISTINCT T1.injury) FROM injury_accident AS T1 JOIN game AS T2 ON T1.game_id  =  T2.id WHERE T2.season  >  2010,,2,1.0,game_injury#sep#game#sep#game [TAB] game_injury#sep#injury_accident#sep#injury_accident
How many leagues are there in England?,soccer_1,10,"SELECT count(*) FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id WHERE T1.name  =  ""England""",,2,1.0,soccer_1#sep#Country#sep#Country [TAB] soccer_1#sep#League#sep#League
How many customers don't have an account?,customers_and_invoices,100,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts),,2,8.0,customers_and_invoices#sep#Accounts#sep#Accounts [TAB] customers_and_invoices#sep#Customers#sep#Customers
Count the number of customers who do not have an account.,customers_and_invoices,100,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts),,2,8.0,customers_and_invoices#sep#Accounts#sep#Accounts [TAB] customers_and_invoices#sep#Customers#sep#Customers
How many products were not included in any order?,customers_and_invoices,100,SELECT count(*) FROM products WHERE product_id NOT IN ( SELECT product_id FROM Order_items ),,2,5.0,customers_and_invoices#sep#Order_Items#sep#Order_Items [TAB] customers_and_invoices#sep#Products#sep#Products
Count the number of products that were never ordered.,customers_and_invoices,100,SELECT count(*) FROM products WHERE product_id NOT IN ( SELECT product_id FROM Order_items ),,2,5.0,customers_and_invoices#sep#Order_Items#sep#Order_Items [TAB] customers_and_invoices#sep#Products#sep#Products
How many exhibitions have a attendance more than 100 or have a ticket price below 10?,theme_gallery,11,SELECT count(*) FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  >  100 OR T2.ticket_price  <  10,,2,13.0,theme_gallery#sep#exhibition_record#sep#exhibition_record [TAB] theme_gallery#sep#exhibition#sep#exhibition
Count the number of exhibitions that have had an attendnance of over 100 or a ticket prices under 10.,theme_gallery,11,SELECT count(*) FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  >  100 OR T2.ticket_price  <  10,,2,13.0,theme_gallery#sep#exhibition_record#sep#exhibition_record [TAB] theme_gallery#sep#exhibition#sep#exhibition
Find the number of items that did not receive any review.,epinions_1,100,SELECT count(*) FROM item WHERE i_id NOT IN (SELECT i_id FROM review),,2,3.0,epinions_1#sep#item#sep#item [TAB] epinions_1#sep#review#sep#review
Find the number of users who did not write any review.,epinions_1,100,SELECT count(*) FROM useracct WHERE u_id NOT IN (SELECT u_id FROM review),,2,5.0,epinions_1#sep#useracct#sep#useracct [TAB] epinions_1#sep#review#sep#review
Find the number of items without any review.,epinions_1,100,SELECT count(*) FROM item WHERE i_id NOT IN (SELECT i_id FROM review),,2,3.0,epinions_1#sep#item#sep#item [TAB] epinions_1#sep#review#sep#review
What is the average age of all gymnasts?,gymnast,0,SELECT avg(T2.Age) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID,,2,21.714285714285715,gymnast#sep#people#sep#people [TAB] gymnast#sep#gymnast
Return the average age across all gymnasts.,gymnast,0,SELECT avg(T2.Age) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID,,2,21.714285714285715,gymnast#sep#people#sep#people [TAB] gymnast#sep#gymnast
Find the total savings balance of all accounts except the account with name ‘Brown’.,small_bank_1,1,SELECT sum(T2.balance) FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T1.name != 'Brown',,2,1000310299.0,small_bank_1#sep#SAVINGS#sep#SAVINGS [TAB] small_bank_1#sep#ACCOUNTS#sep#ACCOUNTS
How many accelerators are not compatible with the browsers listed ?,browser_web,0,SELECT count(*) FROM web_client_accelerator WHERE id NOT IN ( SELECT accelerator_id FROM accelerator_compatible_browser );,,2,14.0,browser_web#sep#accelerator_compatible_browser#sep#accelerator_compatible_browser [TAB] browser_web#sep#Web_client_accelerator#sep#Web_client_accelerator
"How many donors have endowment for school named ""Glenn""?",school_finance,1,"SELECT count(DISTINCT T1.donator_name) FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  ""Glenn""",,2,3.0,school_finance#sep#endowment#sep#endowment [TAB] school_finance#sep#School
"What is the total budget amount for school ""Glenn"" in all years?",school_finance,1,SELECT sum(T1.budgeted) FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  'Glenn',,2,6803.0,school_finance#sep#School [TAB] school_finance#sep#budget#sep#budget
"How many proteins are associated with an institution founded after 1880 or an institution with type ""Private""?",protein_institute,10,SELECT count(*) FROM institution AS T1 JOIN protein AS T2 ON T1.institution_id  =  T2.institution_id WHERE T1.founded  >  1880 OR T1.type  =  'Private',,2,5.0,protein_institute#sep#Institution#sep#Institution [TAB] protein_institute#sep#protein#sep#protein
How many proteins are associated with an institution in a building with at least 20 floors?,protein_institute,10,SELECT count(*) FROM institution AS T1 JOIN protein AS T2 ON T1.institution_id  =  T2.institution_id JOIN building AS T3 ON T3.building_id  =  T1.building_id WHERE T3.floors  >=  20,,3,2.0,protein_institute#sep#Institution#sep#Institution [TAB] protein_institute#sep#building#sep#building [TAB] protein_institute#sep#protein#sep#protein
How many institutions do not have an associated protein in our record?,protein_institute,100,SELECT count(*) FROM institution WHERE institution_id NOT IN (SELECT institution_id FROM protein),,2,7.0,protein_institute#sep#Institution#sep#Institution [TAB] protein_institute#sep#protein#sep#protein
How many products are never booked with amount higher than 200?,products_for_hire,100,SELECT count(*) FROM Products_for_hire WHERE product_id NOT IN ( SELECT product_id FROM products_booked WHERE booked_amount  >  200 ),,2,1.0,products_for_hire#sep#Products_for_Hire#sep#Products_for_Hire [TAB] products_for_hire#sep#Products_Booked
How many Annual Meeting events happened in the United Kingdom region?,party_people,11,"SELECT count(*) FROM region AS t1 JOIN party AS t2 ON t1.region_id  =  t2.region_id JOIN party_events AS t3 ON t2.party_id  =  t3.party_id WHERE t1.region_name  =  ""United Kingdom"" AND t3.Event_Name  =  ""Annaual Meeting""",,3,2.0,party_people#sep#party [TAB] party_people#sep#party_events#sep#party_events [TAB] party_people#sep#region#sep#region
Count the number of Annual Meeting events that took place in the region of the United Kingdom.,party_people,11,"SELECT count(*) FROM region AS t1 JOIN party AS t2 ON t1.region_id  =  t2.region_id JOIN party_events AS t3 ON t2.party_id  =  t3.party_id WHERE t1.region_name  =  ""United Kingdom"" AND t3.Event_Name  =  ""Annaual Meeting""",,3,2.0,party_people#sep#party [TAB] party_people#sep#party_events#sep#party_events [TAB] party_people#sep#region#sep#region
How many documents were shipped by USPS?,cre_Doc_Control_Systems,1,"SELECT count(*) FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = ""USPS"";",,2,3.0,cre_Doc_Control_Systems#sep#Documents#sep#Documents [TAB] cre_Doc_Control_Systems#sep#Ref_Shipping_Agents#sep#Ref_Shipping_Agents
How many events had participants whose details had the substring 'Dr.',local_govt_in_alabama,1,SELECT count(*) FROM participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID WHERE T1.participant_details LIKE '%Dr.%',,2,1.0,local_govt_in_alabama#sep#Participants_in_Events#sep#Participants_in_Events [TAB] local_govt_in_alabama#sep#Participants#sep#Participants
How many events did not have any participants?,local_govt_in_alabama,100,SELECT count(*) FROM EVENTS WHERE event_id NOT IN (SELECT event_id FROM Participants_in_Events),,2,3.0,local_govt_in_alabama#sep#Participants_in_Events#sep#Participants_in_Events [TAB] local_govt_in_alabama#sep#Events#sep#Events
How many drivers participated in the race Australian Grand Prix held in 2009?,formula_1,1,"SELECT count(*) FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid WHERE T2.name = ""Australian Grand Prix"" AND YEAR = 2009",,2,20.0,formula_1#sep#results#sep#results_identity9 [TAB] formula_1#sep#results#sep#results_identity10 [TAB] formula_1#sep#results#sep#results_identity4 [TAB] formula_1#sep#results#sep#results_identity7 [TAB] formula_1#sep#results#sep#results_identity3 [TAB] formula_1#sep#results#sep#results_identity0 [TAB] formula_1#sep#results#sep#results_identity2 [TAB] formula_1#sep#results#sep#results_identity5 [TAB] formula_1#sep#results#sep#results_identity8 [TAB] formula_1#sep#results#sep#results_identity1 [TAB] formula_1#sep#results#sep#results_identity6 [TAB] formula_1#sep#races#sep#race_details12 [TAB] formula_1#sep#races#sep#race_details11 [TAB] formula_1#sep#races#sep#race_details5 [TAB] formula_1#sep#races#sep#race_details1 [TAB] formula_1#sep#races#sep#race_details8 [TAB] formula_1#sep#races#sep#race_details9 [TAB] formula_1#sep#races#sep#race_details0 [TAB] formula_1#sep#races#sep#race_details4 [TAB] formula_1#sep#races#sep#race_details2 [TAB] formula_1#sep#races#sep#race_details7 [TAB] formula_1#sep#races#sep#race_details10 [TAB] formula_1#sep#races#sep#race_details6 [TAB] formula_1#sep#races#sep#race_details3
How many drivers were in the Australian Grand Prix held in 2009?,formula_1,1,"SELECT count(*) FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid WHERE T2.name = ""Australian Grand Prix"" AND YEAR = 2009",,2,20.0,formula_1#sep#races#sep#race_details12 [TAB] formula_1#sep#races#sep#race_details11 [TAB] formula_1#sep#races#sep#race_details5 [TAB] formula_1#sep#races#sep#race_details1 [TAB] formula_1#sep#races#sep#race_details8 [TAB] formula_1#sep#races#sep#race_details9 [TAB] formula_1#sep#races#sep#race_details0 [TAB] formula_1#sep#races#sep#race_details4 [TAB] formula_1#sep#races#sep#race_details2 [TAB] formula_1#sep#races#sep#race_details7 [TAB] formula_1#sep#races#sep#race_details10 [TAB] formula_1#sep#races#sep#race_details6 [TAB] formula_1#sep#races#sep#race_details3
What is the total money requested by entrepreneurs with height more than 1.85?,entrepreneur,1,SELECT sum(T1.Money_Requested) FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Height  >  1.85,,2,380000.0,entrepreneur#sep#people [TAB] entrepreneur#sep#entrepreneur#sep#entrepreneur
Give the total money requested by entrepreneurs who are taller than 1.85.,entrepreneur,1,SELECT sum(T1.Money_Requested) FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Height  >  1.85,,2,380000.0,entrepreneur#sep#people [TAB] entrepreneur#sep#entrepreneur#sep#entrepreneur
What is the total kills of the perpetrators with height more than 1.84.,perpetrator,1,SELECT sum(T2.Killed) FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  1.84,,2,163.0,perpetrator#sep#people#sep#people [TAB] perpetrator#sep#perpetrator#sep#perpetrator
Show the number of cities in counties that have a population more than 20000.,county_public_safety,100,SELECT count(*) FROM city WHERE county_ID IN (SELECT county_ID FROM county_public_safety WHERE population  >  20000),,2,13.0,county_public_safety#sep#county_public_safety#sep#county_public_safety [TAB] county_public_safety#sep#city#sep#city
How many cities are in counties that have populations of over 20000?,county_public_safety,100,SELECT count(*) FROM city WHERE county_ID IN (SELECT county_ID FROM county_public_safety WHERE population  >  20000),,2,13.0,county_public_safety#sep#county_public_safety#sep#county_public_safety [TAB] county_public_safety#sep#city#sep#city
How many distinct delegates are from counties with population larger than 50000?,election,1,SELECT count(DISTINCT T2.Delegate) FROM county AS T1 JOIN election AS T2 ON T1.County_id  =  T2.District WHERE T1.Population  >  50000,,2,5.0,election#sep#county#sep#county [TAB] election#sep#election
Count the number of distinct delegates who are from counties with population above 50000.,election,1,SELECT count(DISTINCT T2.Delegate) FROM county AS T1 JOIN election AS T2 ON T1.County_id  =  T2.District WHERE T1.Population  >  50000,,2,5.0,election#sep#county#sep#county [TAB] election#sep#election
How many restaurant is the Sandwich type restaurant?,restaurant_1,11,SELECT count(*) FROM Restaurant JOIN Type_Of_Restaurant ON Restaurant.ResID =  Type_Of_Restaurant.ResID JOIN Restaurant_Type ON Type_Of_Restaurant.ResTypeID = Restaurant_Type.ResTypeID GROUP BY Type_Of_Restaurant.ResTypeID HAVING Restaurant_Type.ResTypeName = 'Sandwich',,3,1.0,restaurant_1#sep#Restaurant#sep#Restaurant [TAB] restaurant_1#sep#Type_Of_Restaurant#sep#Type_Of_Restaurant [TAB] restaurant_1#sep#Restaurant_Type#sep#Restaurant_Type
How long does student Linda Smith spend on the restaurant in total?,restaurant_1,10,"SELECT sum(Spent) FROM Student JOIN Visits_Restaurant ON Student.StuID = Visits_Restaurant.StuID WHERE Student.Fname = ""Linda"" AND Student.Lname = ""Smith"";",,2,6.53,restaurant_1#sep#Visits_Restaurant#sep#Visits_Restaurant
How many times has the student Linda Smith visited Subway?,restaurant_1,110,"SELECT count(*) FROM Student JOIN Visits_Restaurant ON Student.StuID = Visits_Restaurant.StuID JOIN Restaurant ON Visits_Restaurant.ResID = Restaurant.ResID WHERE Student.Fname = ""Linda"" AND Student.Lname = ""Smith"" AND Restaurant.ResName = ""Subway"";",,3,1.0,restaurant_1#sep#Restaurant#sep#Restaurant [TAB] restaurant_1#sep#Student#sep#Student [TAB] restaurant_1#sep#Visits_Restaurant#sep#Visits_Restaurant
"How many papers have ""Atsushi Ohori"" published?",icfp_1,100,"SELECT count(*) FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid WHERE  t1.fname  =  ""Atsushi"" AND t1.lname  =  ""Ohori""",,3,1.0,icfp_1#sep#Authors#sep#Authors [TAB] icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers#sep#Papers
"How many papers are ""Atsushi Ohori"" the author of?",icfp_1,100,"SELECT count(*) FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid WHERE  t1.fname  =  ""Atsushi"" AND t1.lname  =  ""Ohori""",,3,1.0,icfp_1#sep#Authors#sep#Authors [TAB] icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers#sep#Papers
"How many papers are published by the institution ""Tokohu University""?",icfp_1,1,"SELECT count(DISTINCT t1.title) FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Tokohu University""",,3,0.0,icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers [TAB] icfp_1#sep#Inst#sep#Inst
"Find the number of papers published by authors from the institution ""Tokohu University"".",icfp_1,1,"SELECT count(DISTINCT t1.title) FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Tokohu University""",,3,0.0,icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers [TAB] icfp_1#sep#Inst#sep#Inst
"Find the number of papers published by the institution ""University of Pennsylvania"".",icfp_1,1,"SELECT count(DISTINCT t1.title) FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""University of Pennsylvania""",,3,1.0,icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers [TAB] icfp_1#sep#Inst#sep#Inst
"How many papers are written by authors from the institution ""University of Pennsylvania""?",icfp_1,1,"SELECT count(DISTINCT t1.title) FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""University of Pennsylvania""",,3,1.0,icfp_1#sep#Authorship#sep#Authorship [TAB] icfp_1#sep#Papers [TAB] icfp_1#sep#Inst#sep#Inst
Find the total amount of loans provided by bank branches in the state of New York.,loan_1,1,SELECT sum(T2.amount) FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T1.state  =  'New York',,2,7050.0,loan_1#sep#bank#sep#bank [TAB] loan_1#sep#loan#sep#loan
What is the total amount of money loaned by banks in New York state?,loan_1,1,SELECT sum(T2.amount) FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T1.state  =  'New York',,2,7050.0,loan_1#sep#bank#sep#bank [TAB] loan_1#sep#loan#sep#loan
How many students are not involved in any behavior incident?,behavior_monitoring,100,SELECT count(*) FROM STUDENTS WHERE student_id NOT IN ( SELECT student_id FROM Behavior_Incident ),,2,4.0,behavior_monitoring#sep#Behavior_Incident#sep#Behavior_Incident [TAB] behavior_monitoring#sep#Students_in_Detention#sep#Students_in_Detention [TAB] behavior_monitoring#sep#Students#sep#Students
Find the number of professors in accounting department.,college_1,0,"SELECT count(*) FROM professor AS T1 JOIN department AS T2 ON T1.dept_code  =  T2.dept_code WHERE DEPT_NAME  =  ""Accounting""",,2,3.0,college_1#sep#PROFESSOR#sep#PROFESSOR [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT
How many professors are in the accounting dept?,college_1,0,"SELECT count(*) FROM professor AS T1 JOIN department AS T2 ON T1.dept_code  =  T2.dept_code WHERE DEPT_NAME  =  ""Accounting""",,2,3.0,college_1#sep#PROFESSOR#sep#PROFESSOR [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT
How many classes are professor whose last name is Graztevski has?,college_1,1,SELECT count(*) FROM employee AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE T1.EMP_LNAME  =  'Graztevski',,2,3.0,college_1#sep#CLASS#sep#CLASS [TAB] college_1#sep#EMPLOYEE#sep#EMPLOYEE
How many classes does the professor whose last name is Graztevski teach?,college_1,1,SELECT count(*) FROM employee AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE T1.EMP_LNAME  =  'Graztevski',,2,3.0,college_1#sep#CLASS#sep#CLASS [TAB] college_1#sep#EMPLOYEE#sep#EMPLOYEE
How many courses are offered by the Computer Info. Systems department?,college_1,0,"SELECT count(*) FROM department AS T1 JOIN course AS T2 ON T1.dept_code  =  T2.dept_code WHERE dept_name  =  ""Computer Info. Systems""",,2,4.0,college_1#sep#DEPARTMENT#sep#DEPARTMENT [TAB] college_1#sep#COURSE#sep#COURSE
How many courses does the department of Computer Information Systmes offer?,college_1,0,"SELECT count(*) FROM department AS T1 JOIN course AS T2 ON T1.dept_code  =  T2.dept_code WHERE dept_name  =  ""Computer Info. Systems""",,2,4.0,college_1#sep#DEPARTMENT#sep#DEPARTMENT [TAB] college_1#sep#COURSE#sep#COURSE
How many students enrolled in class ACCT-211?,college_1,1,SELECT count(*) FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code WHERE T1.crs_code  =  'ACCT-211',,2,2.0,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#CLASS#sep#CLASS
What are the total number of students enrolled in ACCT-211?,college_1,1,SELECT count(*) FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code WHERE T1.crs_code  =  'ACCT-211',,2,2.0,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#CLASS#sep#CLASS
How many students are enrolled in the class taught by some professor from the accounting department?,college_1,100,SELECT count(*) FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code JOIN course AS T3 ON T1.crs_code  =  T3.crs_code JOIN department AS T4 ON T3.dept_code  =  T4.dept_code WHERE T4.dept_name  =  'Accounting',,4,2.0,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT [TAB] college_1#sep#COURSE#sep#COURSE [TAB] college_1#sep#CLASS#sep#CLASS
How many students are enrolled in some classes that are taught by an accounting professor?,college_1,100,SELECT count(*) FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code JOIN course AS T3 ON T1.crs_code  =  T3.crs_code JOIN department AS T4 ON T3.dept_code  =  T4.dept_code WHERE T4.dept_name  =  'Accounting',,4,2.0,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT [TAB] college_1#sep#COURSE#sep#COURSE [TAB] college_1#sep#CLASS#sep#CLASS
How many professors who are from either Accounting or Biology department?,college_1,1,SELECT count(*) FROM professor AS T1 JOIN department AS T2 ON T1.dept_code  =  T2.dept_code WHERE T2.dept_name  =  'Accounting' OR T2.dept_name  =  'Biology',,2,5.0,college_1#sep#PROFESSOR#sep#PROFESSOR [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT
What is the number of professors who are in the Accounting or Biology departments?,college_1,1,SELECT count(*) FROM professor AS T1 JOIN department AS T2 ON T1.dept_code  =  T2.dept_code WHERE T2.dept_name  =  'Accounting' OR T2.dept_name  =  'Biology',,2,5.0,college_1#sep#PROFESSOR#sep#PROFESSOR [TAB] college_1#sep#DEPARTMENT#sep#DEPARTMENT
What is the average gpa of the students enrolled in the course with code ACCT-211?,college_1,1,SELECT avg(T2.stu_gpa) FROM enroll AS T1 JOIN student AS T2 ON T1.stu_num  =  T2.stu_num JOIN CLASS AS T3 ON T1.class_code  =  T3.class_code WHERE T3.crs_code  =  'ACCT-211',,3,3.0549999999999997,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#CLASS#sep#CLASS [TAB] college_1#sep#STUDENT
What is the average GPA of students taking ACCT-211?,college_1,1,SELECT avg(T2.stu_gpa) FROM enroll AS T1 JOIN student AS T2 ON T1.stu_num  =  T2.stu_num JOIN CLASS AS T3 ON T1.class_code  =  T3.class_code WHERE T3.crs_code  =  'ACCT-211',,3,3.0549999999999997,college_1#sep#ENROLL#sep#ENROLL [TAB] college_1#sep#CLASS#sep#CLASS [TAB] college_1#sep#STUDENT
